Data,Mandante,Visitante,Gols Mandante,Gols Visitante
04.05.,Cruzeiro,Flamengo RJ,2,1
04.05.,Gremio,Santos,1,0
04.05.,Vasco,Palmeiras,0,1
04.05.,Bahia,Botafogo RJ,1,0
03.05.,Ceara,Vitoria,1,0
03.05.,Corinthians,Internacional,4,2
03.05.,Fluminense,Sport Recife,2,1
03.05.,Sao Paulo,Fortaleza,0,0
27.04.,Santos,Bragantino,1,2
27.04.,Cruzeiro,Vasco,1,0
27.04.,Palmeiras,Bahia,0,1
27.04.,Vitoria,Gremio,1,1
27.04.,Flamengo RJ,Corinthians,4,0
27.04.,Botafogo RJ,Fluminense,2,0
26.04.,Sport Recife,Fortaleza,0,0
26.04.,Ceara,Sao Paulo,1,1
26.04.,Mirassol,Atletico-MG,2,2
26.04.,Internacional,Juventude,3,1
21.04.,Bahia,Ceara,1,0
20.04.,Bragantino,Cruzeiro,1,0
20.04.,Fluminense,Vitoria,1,1
20.04.,Fortaleza,Palmeiras,1,2
20.04.,Atletico-MG,Botafogo RJ,1,0
20.04.,Sao Paulo,Santos,2,1
20.04.,Juventude,Mirassol,2,2
20.04.,Gremio,Internacional,1,1
19.04.,Vasco,Flamengo RJ,0,0
19.04.,Corinthians,Sport Recife,2,1
18.04.,Cruzeiro,Bahia,3,0
17.04.,Flamengo RJ,Juventude,6,0
17.04.,Santos,Atletico-MG,2,0
17.04.,Vitoria,Fortaleza,2,1
16.04.,Corinthians,Fluminense,0,2
16.04.,Internacional,Palmeiras,0,1
16.04.,Mirassol,Gremio,4,1
16.04.,Sport Recife,Bragantino,0,1
16.04.,Botafogo RJ,Sao Paulo,2,2
16.04.,Ceara,Vasco,2,1
13.04.,Atletico-MG,Vitoria,2,2
13.04.,Fortaleza,Internacional,0,0
13.04.,Fluminense,Santos,1,0
13.04.,Gremio,Flamengo RJ,0,2
13.04.,Sao Paulo,Cruzeiro,1,1
13.04.,Bahia,Mirassol,1,1
13.04.,Vasco,Sport Recife,3,1
12.04.,Palmeiras,Corinthians,2,0
12.04.,Bragantino,Botafogo RJ,1,0
12.04.,Juventude,Ceara,2,1
06.04.,Santos,Bahia,2,2
06.04.,Internacional,Cruzeiro,3,0
06.04.,Mirassol,Fortaleza,1,1
06.04.,Sport Recife,Palmeiras,1,2
06.04.,Vitoria,Flamengo RJ,1,2
06.04.,Atletico-MG,Sao Paulo,0,0
06.04.,Fluminense,Bragantino,2,1
06.04.,Botafogo RJ,Juventude,2,0
05.04.,Ceara,Gremio,2,0
05.04.,Corinthians,Vasco,3,0
31.03.,Bragantino,Ceara,2,2
30.03.,Bahia,Corinthians,1,1
30.03.,Vasco,Santos,2,1
30.03.,Palmeiras,Botafogo RJ,0,0
30.03.,Flamengo RJ,Internacional,1,1
29.03.,Cruzeiro,Mirassol,2,1
29.03.,Fortaleza,Fluminense,2,0
29.03.,Gremio,Atletico-MG,2,1
29.03.,Juventude,Vitoria,2,0
29.03.,Sao Paulo,Sport Recife,0,0
